1	教学楼A栋
2	教学楼B栋
3	教学楼C栋
4	教学楼D栋
5	教学楼E栋
6	教学楼F栋
7	教学楼G栋
8	教学楼A栋
9	教学楼B栋
10	教学楼C栋
11	教学楼D栋
12	教学楼E栋
13	教学楼F栋
14	教学楼G栋

0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   
1    -1   30   -1   -1   250  120  30   -1   -1   -1   -1   -1   -1   -1   
2    30   -1   70   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
3    -1   70   -1   75   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
4    -1   -1   75   -1   100  -1   -1   -1   -1   -1   -1   -1   -1   -1   
5    250  -1   -1   100  -1   80   -1   -1   -1   -1   -1   -1   -1   -1   
6    120  -1   -1   -1   80   -1   80   -1   -1   -1   -1   -1   -1   -1   
7    30   -1   -1   -1   -1   80   -1   -1   -1   -1   -1   -1   -1   -1   
8    -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
9    -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
10   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
11   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
12   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
13   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
14   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   
